,,,,,132.2321227,,,
Ano,Mês,Dia,HORA,Média de Vel 1,Média de Dir 1,Média de Vel_ext 1,VX,VY
2011,2,4,0,8.748833333,137,8.4935,0.705972494,8.464109232
2011,2,4,1,7.741666667,136.3333333,7.509,0.537032558,7.489771494
2011,2,4,2,7.677,140.6666667,7.481833333,1.097431127,7.400910413
2011,2,4,3,7.984833333,135.6666667,7.766166667,0.465257126,7.75221778
2011,2,4,4,9.097333333,131.5,8.822333333,-0.112728284,8.821613105
2011,2,4,5,9.372833333,132.1666667,9.1005,-0.010396619,9.100494061
2011,2,4,6,7.107166667,137.8333333,6.934,0.676785634,6.900892493
2011,2,4,7,7.6805,127.5,7.622666667,-0.628849096,7.596683219
2011,2,4,8,8.766833333,128.8333333,8.7205,-0.516997303,8.705161345
2011,2,4,9,8.357,131.1666667,8.332166667,-0.154933672,8.330726074
2011,2,4,10,8.052833333,131.8333333,8.018333333,-0.05580866,8.018139113
2011,2,4,11,7.044833333,131.6666667,7.015,-0.069230397,7.014658377
2011,2,4,12,7.456333333,121,7.417666667,-1.444844938,7.275589453
2011,2,4,13,7.1955,126.1666667,7.146666667,-0.755149385,7.106658417
2011,2,4,14,7.5175,126.1666667,7.475,-0.789842582,7.433153684
2011,2,4,15,8.429666667,110.5,8.394833333,-3.108334914,7.798171629
2011,2,4,16,9.128833333,105.8333333,9.08,-4.037115586,8.133148084
2011,2,4,17,8.861166667,100.6666667,8.759166667,-4.585181115,7.463183961
2011,2,4,18,8.974166667,103.6666667,8.8285,-4.22145701,7.75381925
2011,2,4,19,8.855333333,111,8.717833333,-3.157139088,8.126074747
2011,2,4,20,8.0875,112,7.952166667,-2.750052536,7.461512296
2011,2,4,21,7.346833333,112.8333333,7.196666667,-2.390309523,6.788109568
2011,2,4,22,6.611666667,123.3333333,6.446166667,-0.997154376,6.368575025
2011,2,4,23,6.567833333,131.6666667,6.387,-0.063032722,6.38668896
2011,2,5,0,7.728166667,127.6666667,7.498,-0.596825396,7.474209219
2011,2,5,1,7.285166667,136.3333333,7.091166667,0.507149737,7.073008118
2011,2,5,2,7.608,127.5,7.362,-0.607344811,7.336905089
2011,2,5,3,7.533666667,125,7.308,-0.920000029,7.249859581
2011,2,5,4,7.785666667,131,7.537166667,-0.162071249,7.535423961
2011,2,5,5,7.467166667,130.6666667,7.383666667,-0.201714113,7.380910843
2011,2,5,6,7.309,128.3333333,7.166333333,-0.48726918,7.1497484
2011,2,5,7,5.975166667,126.5,5.936833333,-0.59295672,5.907147565
2011,2,5,8,7.224833333,125.1666667,7.193,-0.884761811,7.138378355
2011,2,5,9,7.388833333,130.5,7.359833333,-0.222463031,7.35647041
2011,2,5,10,7.1845,126.3333333,7.144833333,-0.734285382,7.10700136
2011,2,5,11,6.335,123,6.292666667,-1.009561445,6.211154439
2011,2,5,12,5.669333333,111.8333333,5.643666667,-1.96711268,5.289748685
2011,2,5,13,7.031666667,102.6666667,6.996,-3.4519492,6.085068834
2011,2,5,14,7.391,116.3333333,7.349833333,-2.013405246,7.068680877
