jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
10394.00,11131.00,18344.00,11669.00,33431.00,28568.00,69441.00,29398.00,16995.00,15059.00,11615.00,7396.00
6705.00,6274.00,5841.00,6542.00,11480.00,19172.00,14563.00,28505.00,12853.00,12467.00,12988.00,8847.00
3668.00,8877.00,6070.00,10502.00,7678.00,4476.00,5128.00,6475.00,7104.00,4120.00,4398.00,1440.00
2200.00,4848.00,4623.00,8238.00,7160.00,8142.00,4665.00,6435.00,8727.00,8800.00,10970.00,10041.00
10066.00,9726.00,3464.00,9197.00,28729.00,16717.00,13580.00,10713.00,7301.00,13530.00,6178.00,3789.00
4182.00,5482.00,4250.00,5171.00,19082.00,14352.00,5892.00,2590.00,8504.00,6360.00,4072.00,2866.00
10015.00,14803.00,7614.00,7627.00,12712.00,3661.00,8645.00,10981.00,29655.00,12087.00,5343.00,3299.00
17794.00,10643.00,6737.00,12555.00,13063.00,31506.00,14909.00,14605.00,20464.00,24131.00,17537.00,7448.00
3562.00,3757.00,2684.00,2986.00,2480.00,10326.00,7652.00,7733.00,2870.00,8446.00,7725.00,9281.00
5877.00,7272.00,8378.00,7363.00,25120.00,29089.00,21343.00,17347.00,12962.00,7858.00,8587.00,5302.00
5828.00,9531.00,8802.00,5977.00,12571.00,11666.00,19584.00,6257.00,12121.00,22723.00,6600.00,11064.00
4574.00,13808.00,7749.00,6964.00,11646.00,16074.00,19576.00,7237.00,4647.00,11031.00,12958.00,7349.00
25351.00,13093.00,7411.00,4321.00,2541.00,5224.00,12140.00,6013.00,7468.00,15085.00,5876.00,4270.00
12526.00,17123.00,13359.00,11481.00,3187.00,7951.00,14943.00,10566.00,13445.00,18316.00,11402.00,8896.00
10510.00,22849.00,9004.00,3008.00,3283.00,10093.00,12053.00,18320.00,8024.00,36592.00,34385.00,13231.00
15722.00,24215.00,19229.00,31326.00,22116.00,8683.00,14049.00,25154.00,26920.00,25902.00,7383.00,5788.00
5629.00,8580.00,5935.00,8828.00,4682.00,10099.00,20342.00,4960.00,5523.00,13595.00,5410.00,4061.00
5182.00,7117.00,8154.00,4443.00,4890.00,5547.00,11771.00,6587.00,26617.00,24910.00,8000.00,6365.00
13144.00,20969.00,11073.00,9057.00,12036.00,11179.00,14288.00,8026.00,9590.00,26455.00,7692.00,8538.00
7376.00,6043.00,4699.00,4170.00,9309.00,11276.00,7234.00,12131.00,15002.00,19032.00,17410.00,16827.00
7858.00,9222.00,8343.00,4096.00,4283.00,7693.00,7293.00,3224.00,2795.00,5779.00,7433.00,17167.00
8992.00,4548.00,3299.00,3955.00,8788.00,8269.00,12697.00,4569.00,8550.00,14378.00,12819.00,5909.00
5569.00,2942.00,2573.00,6292.00,14534.00,17194.00,9609.00,7846.00,27044.00,29785.00,12724.00,4256.00
4540.00,3963.00,3840.00,2906.00,1583.00,2328.00,3152.00,5180.00,5402.00,5093.00,7176.00,7422.00
6974.00,7358.00,9612.00,8571.00,19665.00,7757.00,12541.00,6603.00,8851.00,10132.00,14213.00,7649.00
7451.00,5085.00,4359.00,5922.00,9796.00,9816.00,6696.00,9304.00,8232.00,22119.00,19426.00,4999.00
5695.00,5014.00,4486.00,1862.00,2632.00,3873.00,12625.00,18792.00,30253.00,25244.00,14547.00,12101.00
16384.00,15184.00,9942.00,20292.00,23843.00,10941.00,11674.00,9290.00,7004.00,6927.00,5666.00,16675.00
12389.00,21136.00,12896.00,11436.00,6362.00,8429.00,22914.00,31180.00,25780.00,11655.00,7324.00,3937.00
6990.00,5649.00,4078.00,4044.00,5820.00,14990.00,10151.00,8130.00,4967.00,7659.00,4927.00,4661.00
9078.00,7007.00,12929.00,7776.00,5029.00,18794.00,16478.00,18308.00,17427.00,13700.00,6656.00,6572.00
10168.00,4886.00,11049.00,8070.00,11635.00,40627.00,16087.00,6477.00,12613.00,18478.00,8194.00,7677.00

