jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
106366.00,129202.00,105493.00,84813.00,70287.00,87915.00,55669.00,37319.00,47672.00,52973.00,56826.00,77328.00
72640.00,58331.00,53064.00,58119.00,47673.00,32404.00,25234.00,23132.00,24547.00,23049.00,27598.00,51063.00
82730.00,82218.00,82811.00,64222.00,47906.00,35365.00,28040.00,22942.00,21286.00,20975.00,28130.00,37498.00
62929.00,62245.00,61235.00,47222.00,42097.00,30960.00,24650.00,25899.00,20313.00,19447.00,20422.00,47194.00
61693.00,69354.00,57043.00,49357.00,47044.00,38876.00,26792.00,20263.00,20222.00,22654.00,32574.00,55819.00
56006.00,68461.00,75265.00,57600.00,46052.00,39208.00,25677.00,19972.00,16857.00,22031.00,28170.00,37041.00
65669.00,71630.00,65911.00,47447.00,36660.00,28885.00,24987.00,27682.00,28325.00,22260.00,29879.00,67120.00
88179.00,51814.00,54477.00,43650.00,37509.00,29377.00,28658.00,24389.00,27711.00,28959.00,29337.00,31712.00
57535.00,77449.00,80560.00,80665.00,48256.00,35846.00,28804.00,22526.00,19420.00,29031.00,26840.00,40897.00
68649.00,95834.00,68570.00,62614.00,60364.00,42052.00,32482.00,25778.00,32054.00,38892.00,51512.00,61609.00
57967.00,81337.00,70217.00,60880.00,42700.00,37746.00,26815.00,23303.00,25600.00,31761.00,25345.00,41688.00
73699.00,62707.00,72982.00,55146.00,40524.00,33678.00,27424.00,21018.00,16514.00,17996.00,28227.00,43255.00
61893.00,94022.00,64993.00,59479.00,43543.00,30218.00,26872.00,19331.00,16944.00,27185.00,27278.00,39012.00
61750.00,50600.00,64099.00,47249.00,33693.00,25754.00,21130.00,17707.00,22761.00,24155.00,40987.00,51585.00
100616.00,84204.00,72314.00,60254.00,43867.00,46857.00,32743.00,23971.00,22068.00,27218.00,36583.00,56144.00
50079.00,61905.00,66846.00,56138.00,41736.00,30467.00,23193.00,24126.00,24700.00,35511.00,33306.00,46620.00
67427.00,61355.00,70718.00,44707.00,33344.00,28771.00,25531.00,17503.00,17975.00,15317.00,22276.00,35921.00
62773.00,76998.00,73488.00,47879.00,31438.00,25896.00,22646.00,20774.00,32005.00,20252.00,32522.00,50770.00
48939.00,51130.00,51746.00,40502.00,30999.00,26176.00,20664.00,16853.00,17105.00,23871.00,29818.00,46662.00
72491.00,80789.00,61292.00,41468.00,36103.00,26300.00,21229.00,18381.00,19059.00,15224.00,25652.00,40113.00
67725.00,72015.00,60245.00,54609.00,34585.00,27985.00,22289.00,17359.00,16428.00,18013.00,24465.00,38752.00
56704.00,82754.00,73771.00,58469.00,45208.00,38243.00,30807.00,21628.00,16806.00,23510.00,29348.00,45690.00
74548.00,68092.00,68222.00,47439.00,37198.00,32384.00,23819.00,18386.00,20690.00,24711.00,31908.00,62816.00
57098.00,61529.00,72272.00,63894.00,37639.00,28234.00,23545.00,19235.00,19873.00,28260.00,33467.00,63334.00
103997.00,102509.00,64901.00,48260.00,39596.00,30910.00,27016.00,21257.00,14692.00,15313.00,27883.00,37332.00
48446.00,77021.00,78407.00,66813.00,47570.00,35549.00,25323.00,25425.00,18335.00,23251.00,29592.00,43068.00
63082.00,75374.00,59917.00,61898.00,42159.00,33224.00,33459.00,27964.00,34242.00,39753.00,41785.00,69659.00
81160.00,71713.00,66869.00,57364.00,37632.00,27808.00,22952.00,17582.00,15115.00,23169.00,31384.00,48280.00
83230.00,60805.00,99388.00,69160.00,43345.00,33246.00,27149.00,26010.00,17894.00,26860.00,29476.00,48840.00
81004.00,60071.00,49130.00,42229.00,38324.00,44741.00,30862.00,19527.00,16097.00,16973.00,25827.00,33018.00
55114.00,66247.00,61347.00,63705.00,36885.00,43523.00,34851.00,21373.00,19006.00,26912.00,28604.00,47736.00
41360.00,38996.00,54211.00,50443.00,34946.00,34503.00,23924.00,18232.00,16327.00,15616.00,21014.00,40537.00

