"alpha","phi","RSN","phi.hat","phi0.hat","sigma.e","beta","beta0","RMSE.arima","RMSE.qr","diffrmse","diff.intercept","diff.lag"
0.05,0.25,0.01,0.2605152304017,0.999551828374524,0.0134538548991526,0.285528392744098,0.762725907024394,0.117829696895178,0.117186934447788,0.994544987687087,0.0460381097510874,-0.0250131623423972
0.05,0.25,0.05,0.255412487250852,0.999849209271685,0.0672971421346245,0.24037033408775,0.590902926299123,0.258841384971687,0.258809684417106,0.999877529033525,-0.0177565906780168,0.0150421531631017
0.05,0.25,0.1,0.224885236227675,1.00449750592142,0.132793101262306,0.230544486607211,0.43724635715561,0.366618809758689,0.365615145095836,0.997262375426089,-0.0321464704063582,-0.00565925037953585
0.05,0.25,0.5,0.234868162136069,0.993517637443419,0.66674912571736,0.252222035671848,-0.37104149389835,0.815900078533761,0.815871957199757,0.999965533360342,0.0214587134249096,-0.0173538735357796
0.05,0.25,1,0.258360199715511,0.986836802891027,1.33567073457914,0.258965637662012,-0.906487899765474,1.14647556409275,1.1464505669188,0.999978196505242,-0.00765273349770013,-0.000605437946500198
0.05,0.5,0.01,0.505117718647453,0.998739173842178,0.02058041630497,0.518309346449533,0.729250389067424,0.143267936107566,0.1431651592071,0.999282624547696,0.0335201202947634,-0.0131916278020793
0.05,0.5,0.05,0.501838857938965,0.995227963710043,0.0997432615825644,0.49961593138725,0.480234711854559,0.314114766754546,0.314123351899561,1.00002733123661,-0.00448699653210816,0.00222292655171558
0.05,0.5,0.1,0.489125751562666,1.00172227086851,0.201809029083207,0.484350103716,0.291038333272785,0.447639050994542,0.447203325261184,0.999026613669227,-0.0282362865241851,0.00477564784666562
0.05,0.5,0.5,0.495503829300205,0.998817340312257,1.00613466129895,0.485450936587524,-0.606616940817457,1.00503859573053,1.00521449006871,1.00017501252085,-0.0444569415925243,0.0100528927126819
0.05,0.5,1,0.505765313536293,1.02104695877127,2.04116752391084,0.525582039431529,-1.3612926410747,1.4125015607775,1.41352704634517,1.00072600667932,0.0323465289989193,-0.019816725895236
0.05,0.7,0.01,0.713733364342442,0.998131907691004,0.0342053207503537,0.685975507693709,0.743456803909836,0.187604793510287,0.183762840268637,0.979521028382257,-0.0495353195303182,0.0277578566487322
0.05,0.7,0.05,0.718006014367803,0.997234100518124,0.167526279201964,0.730041468266981,0.21631340758983,0.408481155346914,0.405028067436288,0.991546518449075,0.107682526984151,-0.0120354538991784
0.05,0.7,0.1,0.703139862855845,0.996928020595745,0.340111662201492,0.689938062478235,0.0763820009684986,0.575224793001639,0.575508384343185,1.00049300959381,-0.0387176987165452,0.01320180037761
0.05,0.7,0.5,0.699573738513214,1.01746045192652,1.67773456169562,0.706792611477463,-1.13313606171036,1.30067503280942,1.3005620711325,0.999913151498979,0.0200604869278176,-0.00721887296424883
0.05,0.7,1,0.696585529728734,1.02750909852214,3.25798130267517,0.703243310460877,-1.9599143574581,1.83603065834967,1.83629845998922,1.00014585902383,0.0184825695666919,-0.00665778073214329
0.05,0.9,0.01,0.915657810378379,0.997864260648225,0.100998208954069,0.898220764210743,0.49420936004895,0.351624859413541,0.316211767566363,0.899287291842101,-0.0190831247165048,0.017437046167636
0.05,0.9,0.05,0.908546969198893,1.00800839475293,0.499283055983284,0.905511434513279,-0.211689979146613,0.712413391719148,0.706128127348514,0.991177503899152,0.0574453877315905,0.00303553468561402
0.05,0.9,0.1,0.894178113563165,0.986822608057195,1.00380591246557,0.880983388399557,-0.481448274147619,1.00758266916012,1.00486307624991,0.997300873671756,-0.179709856655167,0.0131947251636078
0.05,0.9,0.5,0.898110257239319,0.997736362534332,4.99389472218872,0.915969347700971,-2.80696890589191,2.23213653828292,2.23451905692433,1.00106737137292,0.128946955362212,-0.0178590904616515
0.05,0.9,1,0.9064367241394,0.948198579290521,9.65654357365398,0.905972980255681,-4.18454908944779,3.15982847057278,3.15888478596544,0.999701349419399,0.0213683778925731,0.000463743883718393
0.1,0.25,0.01,0.258860515906513,1.00110134678449,0.013414036545852,0.267528972286937,0.830071511997425,0.116116351153338,0.115424736476979,0.994043778765957,0.0226018373378215,-0.00866845638042346
0.1,0.25,0.05,0.240857149001014,1.0014529555942,0.0651236688466476,0.21353731224475,0.719559328964158,0.260117257464256,0.260302927229605,1.00071379256862,-0.0451498682363539,0.0273198367562638
0.1,0.25,0.1,0.233937375847376,0.998040444202834,0.136138534114138,0.21899658219659,0.567064007900958,0.361189719068202,0.360702267700855,0.998650428454594,-0.0418770773205362,0.0149407936507857
0.1,0.25,0.5,0.247392019118192,1.00636827909664,0.6629076993918,0.263113212463174,-0.0601570351123154,0.815233694625241,0.815312361486539,1.00009649608673,0.0230970008654242,-0.0157211933449824
0.1,0.25,1,0.252661483437962,1.02089619544469,1.27990527701757,0.242652935920424,-0.408589019159891,1.15121446046463,1.15157306104392,1.00031149763281,-0.0203712199395029,0.010008547517538
0.1,0.5,0.01,0.509208680305046,0.999383129578078,0.0203320409605557,0.483732754557695,0.85146122213831,0.144528355598081,0.143520103660909,0.9930238468915,-0.0348151273435378,0.0254759257473507
0.1,0.5,0.05,0.500467063276208,1.00196943252591,0.100545140319299,0.494041899215168,0.606018935168896,0.31527070269741,0.315311350804206,1.00012893080914,-0.010414813697047,0.00642516406104043
0.1,0.5,0.1,0.503016440948389,0.9976131297832,0.201934300693694,0.500538776492875,0.422107182751281,0.442952921683885,0.442989143341347,1.00008177315396,-0.000386168733259085,0.00247766445551412
