"n","alpha","phi","RSN","phi.hat.mean","phi.hat.sd","sigma.e.mean","sigma.e.sd","phi0.hat.mean","phi0.hat.sd","beta.mean","beta.mean.sd","beta0.mean","beta0.mean.sd","RMSE.arima","RMSE.qr","diffrmse.mean","diffrmse.sd","diff.intercept.mean","diff.intercept.sd","diff.lag","diff.lag.sd"
20,0.05,0.25,0.01,0.224344156781526,0.0807502622090483,0.0133333333333333,0,1.03198286345563,0.103068717877593,0.194141661705437,0.237279206978673,0.865044047160626,0.304582038914399,0.120876445078004,0.131410218529988,-0.0105337734519841,0.0185486966246781,-0.0196891715374174,0.29325811987822,0.0302024950760889,0.232435995987754
20,0.05,0.25,0.05,0.20812955242947,0.134150391760046,0.0666666666666667,0,1.05481222600601,0.187360948192675,0.219804240706721,0.407312481342017,0.625325943624347,0.524173228661695,0.286126614289725,0.314213827928339,-0.0280872136386141,0.0507506018215817,0.0319917003585486,0.463255440591985,-0.011674688277251,0.371893479423922
20,0.05,0.25,0.1,0.204714065949023,0.171505236227647,0.133333333333333,0,1.06627683244506,0.227709272610391,0.286714694935667,0.414860689475278,0.369006594704539,0.574876694241861,0.405887890977115,0.43417045305188,-0.0282825620747643,0.0714475197027458,0.11221631533921,0.556205141108554,-0.0820006289866436,0.414558712307232
20,0.05,0.25,0.5,0.163919911209494,0.178362280754045,0.666666666666667,0,1.11265486114539,0.293264202998826,0.199929787449582,0.520728493596308,-0.268959165344397,0.799397198164613,0.877362879770394,0.999219852180974,-0.12185697241058,0.202160896745715,0.0762962518960345,0.705821038033707,-0.0360098762400879,0.503665302802172
20,0.05,0.25,1,0.228449292154542,0.231094110613988,1.33333333333333,0,1.0449696953229,0.374258082083121,0.17855506835849,0.510288539640308,-0.765972143065448,0.69765636431807,1.24968109272679,1.40502804453209,-0.155346951805303,0.277092492682999,0.00380693059116504,0.615596663109974,0.0498942237960519,0.497739958338201
20,0.05,0.5,0.01,0.490009565235425,0.0647587343598451,0.02,0,1.01651271765336,0.117241579276564,0.42643713897292,0.141332134880717,0.898074751860152,0.246253633360843,0.14856368888225,0.158728861089463,-0.0101651722072126,0.0273314905129015,-0.101830987839711,0.218630943420451,0.0635724262625051,0.122283384531682
20,0.05,0.5,0.05,0.45963246621205,0.111863760563488,0.1,0,1.06206777350018,0.208089774073634,0.418374383696661,0.293511158255805,0.614672965841967,0.55254857795459,0.338393455803927,0.370955008853868,-0.0325615530499411,0.0815627289620968,-0.0609462240950853,0.494744843099967,0.0412580825153897,0.267240688897903
20,0.05,0.5,0.1,0.417710671788263,0.160245169337417,0.2,0,1.14250761290315,0.313363134063831,0.417318956981811,0.361902122833355,0.455503286176748,0.735795863800768,0.471129161572545,0.502802696443253,-0.0316735348707082,0.0917622639331373,-0.0120671122446684,0.667883342550567,0.000391714806452627,0.336685859581667
20,0.05,0.5,0.5,0.41953835031966,0.19984192762928,1,0,1.12249264139949,0.465149066624096,0.480788927448587,0.429578985548575,-0.5127866970093,0.922786415634298,1.09858630072079,1.22144416743915,-0.122857866718358,0.234073805176364,0.105147901895577,0.74595179522891,-0.0612505771289271,0.364959869819913
20,0.05,0.5,1,0.351386333654675,0.204533500411846,2,0,1.21151957550576,0.485220462693413,0.325607757854703,0.5284541489597,-0.909728942660501,1.05400499980971,1.48247321898505,1.66017817484209,-0.177704955857044,0.396549676596227,-0.0373129836968435,0.865755832130709,0.0257785757999717,0.455481988875624
20,0.05,0.7,0.01,0.694368569550738,0.0426656134611056,0.0333333333333333,0,1.01414497746023,0.118093261452392,0.669521264753933,0.111559545671406,0.774119050818056,0.292083255299754,0.193907172225389,0.218981325208881,-0.0250741529834921,0.0492861988550967,-0.0548831567434141,0.251804854270909,0.0248473047968052,0.0944031151062027
20,0.05,0.7,0.05,0.652170405115878,0.0923558114852329,0.166666666666667,0,1.13506211688829,0.265592458607036,0.608585733665717,0.207939745887066,0.590238625023027,0.576100641718535,0.438625603106726,0.477168038770435,-0.0385424356637086,0.0996973860884088,-0.103092827125802,0.514969084504851,0.0435846714501608,0.183968728742657
20,0.05,0.7,0.1,0.629157744740639,0.135693402853219,0.333333333333333,0,1.20607945364771,0.402521495502306,0.609613378186443,0.249650862667627,0.369108118567115,0.687473094703807,0.617627687030077,0.673327883775243,-0.0557001967451661,0.13228358459355,-0.0649696366459529,0.587345435472202,0.0195443665541959,0.211224990686587
20,0.05,0.7,0.5,0.541718856689637,0.204571608703519,1.66666666666667,0,1.45908045471515,0.641326823374846,0.440041852888045,0.451366769086284,-0.339281462271538,1.32938402107241,1.42114670286101,1.6690103559203,-0.247863653059288,0.476863730601208,-0.192242743722118,0.985339768252475,0.101677003801592,0.381754836036907
