Ano,Mês,Dia,HORA,Média de Vel 1,Média de Dir 1,Média de Vel_ext 1,VX,VY
2011,2,4,1,8.831333333,131,8.9895,-0.101679971,8.988924932
2011,2,4,2,7.5915,143,7.727666667,1.521072113,7.576488088
2011,2,4,3,8.909833333,140,9.055833333,1.31538464,8.959792442
2011,2,4,4,7.793,138.5,7.9405,0.947330542,7.883787484
2011,2,4,5,8.545666667,133.6666667,8.719,0.307114694,8.713589476
2011,2,4,6,6.738833333,140.3333333,6.838,1.032581196,6.759587271
2011,2,4,7,7.986833333,128.3333333,8.012166667,-0.463271959,7.998762016
2011,2,4,8,9.222666667,131.1666667,9.2475,-0.077699625,9.247173569
2011,2,4,9,8.2045,127.8333333,8.230666667,-0.547592778,8.212430574
2011,2,4,10,8.089333333,130.5,8.110333333,-0.162502833,8.108705174
2011,2,4,11,7.508166667,132.6666667,7.531333333,0.133882051,7.53014325
2011,2,4,12,7.3985,119.1666667,7.416666667,-1.60291205,7.241382286
2011,2,4,13,7.322,130.5,7.3425,-0.147118128,7.341025985
2011,2,4,14,7.581666667,125.5,7.606833333,-0.814680579,7.563081972
2011,2,4,15,8.540333333,117.8333333,8.564833333,-2.045140695,8.317076984
2011,2,4,16,9.2805,112.1666667,9.312833333,-3.105840412,8.779670838
2011,2,4,17,9.828833333,109,9.873333333,-3.801924257,9.111974706
2011,2,4,18,8.982166667,111.5,9.049833333,-3.117194236,8.496033395
2011,2,4,19,7.506,112.1666667,7.564666667,-2.522824858,7.131587237
2011,2,4,20,7.480666667,115.5,7.5575,-2.101898523,7.259327025
2011,2,4,21,7.605333333,117,7.707833333,-1.949167731,7.457307815
2011,2,4,22,7.483,119.8333333,7.5955,-1.555163926,7.434587104
2011,2,4,23,7.234333333,128.1666667,7.356,-0.446691807,7.342424833
2011,2,5,0,6.943333333,130.1666667,7.082666667,-0.183106347,7.080299371
2011,2,5,1,7.474666667,132,7.608666667,0.046732751,7.608523148
2011,2,5,2,8.113333333,127.3333333,8.282666667,-0.623150238,8.259191903
2011,2,5,3,7.951666667,127.8333333,8.094166667,-0.538511324,8.076233007
2011,2,5,4,7.882333333,131.6666667,8.029166667,0.002603996,8.029166245
2011,2,5,5,8.044666667,129.6666667,8.188,-0.283103173,8.183104337
2011,2,5,6,7.4455,131.5,7.553166667,-0.019521633,7.55314144
2011,2,5,7,6.579333333,122.6666667,6.599833333,-1.030327256,6.518912928
2011,2,5,8,6.8755,123.6666667,6.8925,-0.957036947,6.825733406
2011,2,5,9,7.121333333,126,7.143,-0.703000462,7.108321838
2011,2,5,10,7.046333333,124.5,7.0685,-0.879563384,7.013562611
2011,2,5,11,6.127333333,120.1666667,6.145166667,-1.223196148,6.022197651
2011,2,5,12,5.344166667,119.1666667,5.358333333,-1.158058931,5.231695291
2011,2,5,13,6.6115,125.5,6.624833333,-0.709509834,6.58673003
2011,2,5,14,7.242333333,126,7.261666667,-0.714679409,7.226412397
2011,2,5,15,8.644333333,117.6666667,8.671,-2.094976026,8.414114122
2011,2,5,16,10.03483333,105.1666667,10.06966667,-4.490140365,9.013147416
2011,2,5,17,10.015,109.1666667,10.06366667,-3.848182925,9.298864179
2011,2,5,18,8.796666667,112,8.854166667,-2.977143243,8.338638107
2011,2,5,19,9.2065,116.5,9.274666667,-2.42360652,8.952406002
2011,2,5,20,8.349333333,126.3333333,8.438333333,-0.78161703,8.402055954
2011,2,5,21,7.445833333,130.8333333,7.533,-0.107116362,7.532238385
2011,2,5,22,6.4395,134.6666667,6.538666667,0.34432505,6.529594324
2011,2,5,23,7.276166667,136.6666667,7.389833333,0.646453908,7.361503517
2011,2,6,0,7.918833333,139.1666667,8.051833333,1.053564097,7.982607514
2011,2,6,1,7.883,138.1666667,8.018333333,0.910284821,7.966495527
2011,2,6,2,9.3755,142.6666667,9.540166667,1.823386714,9.364296072
2011,2,6,3,10.05033333,145.3333333,10.21916667,2.417732232,9.929045185
2011,2,6,4,10.25933333,148.5,10.44366667,3.027609554,9.995186537
2011,2,6,5,10.14166667,151.3333333,10.33,3.47969,9.726286933
2011,2,6,6,9.191333333,151.8333333,9.337166667,3.221850635,8.763695559
