"n","alpha","phi","RSN","sigma2","phi.hat.mean","phi.hat.sd","sigma2.hat.mean","sigma2.hat.sd","phi0.hat.mean","phi0.hat.sd","beta.hat.mean","beta.hat.sd","beta0.hat.mean","beta0.hat.sd","RMSE.arima","RMSE.qr","diffrmse.mean","diffrmse.sd","diff.intercept.mean","diff.intercept.sd","diff.lag.mean","diff.lag.sd"
20,0.05,0.25,0.01,0.0133333333333333,0.237196935687612,0.0801829921661074,0.0123937762195625,0.00448732158323966,1.01594381383839,0.10189758073369,0.186767199487425,0.196872851091669,0.888025323854112,0.247807091117968,0.121891838953598,0.129375632290899,1.06139700082915,0.161585585334224,-0.0521562827669239,0.228403422195909,0.0504297362001873,0.161585585334224
20,0.05,0.25,0.05,0.0666666666666667,0.209581930919787,0.144684842781315,0.0636791433838186,0.0219070534598656,1.04943736697528,0.190401601987226,0.188167567202503,0.376353398153992,0.65064092649495,0.475658623459472,0.272858671680781,0.298565048699673,1.09421132508102,0.189777246348856,-0.0102762384088011,0.430465599318841,0.0214143637172848,0.189777246348856
20,0.05,0.25,0.1,0.133333333333333,0.201668225093623,0.180824389376271,0.125468448626498,0.0433108626022327,1.06317188307628,0.241824316340949,0.192291581270864,0.422648620752229,0.491258383999458,0.55822213730041,0.39375689453644,0.430212761497985,1.09258470763912,0.193824677872644,-0.0019740062062447,0.496313081551814,0.00937664382275945,0.193824677872644
20,0.05,0.25,0.5,0.666666666666667,0.173369887419886,0.210393525584381,0.623515691265522,0.215704311959279,1.09013370058915,0.336530672331747,0.196801408568465,0.531372404109832,-0.224500739822572,0.780200813312202,0.877793221289527,0.988661606686402,1.12630353334696,0.218958621341421,0.0354127941878091,0.636263925815171,-0.0234315211485797,0.218958621341421
20,0.05,0.25,1,1.33333333333333,0.167779157236837,0.221159704230462,1.26919490224119,0.444593901578372,1.12910906783988,0.418296264012746,0.190095313782996,0.537663406213624,-0.756148580366258,0.920106937473574,1.25784128742367,1.4122867894255,1.12278616034155,0.243638020733145,0.0600727110145087,0.743782536979241,-0.0223161565461591,0.243638020733145
20,0.05,0.5,0.01,0.02,0.488267268413032,0.0643194526025199,0.0188526145355977,0.00682661143457624,1.02112964408923,0.117567494882758,0.43157004523146,0.133710919347271,0.89148746978382,0.238277215217623,0.150182309444401,0.160749139089795,1.07036001566687,0.182801663784171,-0.0925528218633313,0.202625401988145,0.0566972231815718,0.182801663784171
20,0.05,0.5,0.05,0.1,0.453758900129841,0.118734062527722,0.0949216398222795,0.0321976674343393,1.07832606462977,0.221414536069537,0.406524790159489,0.278367970366686,0.64442226253471,0.513999308477714,0.334032462622454,0.366463333471598,1.09708897930019,0.213956069933647,-0.0657532649016889,0.461530771709221,0.0472341099703521,0.213956069933647
20,0.05,0.5,0.1,0.2,0.432330311860464,0.154878965945117,0.18705397677406,0.0632216866897163,1.1200845772006,0.294364398414102,0.415049672166595,0.358174700721222,0.429642461612885,0.671407204989025,0.475736336459779,0.523313562128813,1.10000755044923,0.211744142806883,-0.0109402984789784,0.617592432188676,0.0172806396938693,0.211744142806883
20,0.05,0.5,0.5,1,0.380814894638357,0.19836068556992,0.934042631706637,0.315347386105261,1.2088613178261,0.459442720935553,0.402608323478955,0.461523554573573,-0.402609395031244,0.989480530203578,1.08997120074926,1.20972900941246,1.10987245220872,0.213021910240631,0.044252492639542,0.793759138849829,-0.0217934288405977,0.213021910240631
20,0.05,0.5,1,2,0.368648626616477,0.205841416144212,1.89494266541958,0.667711617992585,1.21923548793858,0.532741998680056,0.391991832897437,0.495103268972451,-1.06904191931388,1.162381666279,1.53251493682994,1.724041343161,1.12497522975354,0.252590452266646,0.0580030367050262,0.936059286121106,-0.0233432062809602,0.252590452266646
