,,,,,129.8556495,,,
Ano,Mês,Dia,HORA,Média de Vel 1,Média de Dir 1,Média de Vel_ext 1,VX,VY
2011,2,4,0,7.647666667,126,8.045,-0.540969936,8.026791173
2011,2,4,1,8.225,124.5,8.652666667,-0.80761964,8.614893555
2011,2,4,2,6.415833333,137.3333333,6.770833333,0.881156411,6.713251627
2011,2,4,3,5.978666667,125,6.3525,-0.537711579,6.329701613
2011,2,4,4,6.795333333,128.3333333,7.146833333,-0.189864943,7.144310883
2011,2,4,5,7.173833333,133.1666667,7.5115,0.433834149,7.498961273
2011,2,4,6,6.7655,136.5,7.095333333,0.820972985,7.047677523
2011,2,4,7,6.349166667,124,6.4755,-0.660646981,6.441711404
2011,2,4,8,8.543333333,118.5,8.6895,-1.710949427,8.519393306
2011,2,4,9,8.5455,119.3333333,8.644333333,-1.578615016,8.498968961
2011,2,4,10,8.057166667,121.1666667,8.165666667,-1.23359333,8.071948935
2011,2,4,11,7.5495,125.8333333,7.623666667,-0.534762177,7.60488809
2011,2,4,12,6.851833333,117.8333333,6.913166667,-1.439961835,6.76153705
2011,2,4,13,6.563166667,119.1666667,6.642,-1.231942673,6.526751202
2011,2,4,14,6.537666667,112.5,6.625,-1.976251153,6.323373813
2011,2,4,15,7.331166667,113.5,7.420666667,-2.089650852,7.120368888
2011,2,4,16,8.1915,102.8333333,8.320166667,-3.780163756,7.411851006
2011,2,4,17,9.384333333,93.5,9.599166667,-5.690344441,7.730716709
2011,2,4,18,8.672,94.66666667,8.891333333,-5.123854714,7.266493054
2011,2,4,19,8.162833333,98.83333333,8.380166667,-4.318902367,7.181523216
2011,2,4,20,7.357833333,103.6666667,7.609,-3.358105183,6.827884781
2011,2,4,21,5.922666667,104.6666667,6.129,-2.608534867,5.546186694
2011,2,4,22,5.976166667,108.3333333,6.244333333,-2.29081853,5.808945622
2011,2,4,23,7.417166667,116.8333333,7.795666667,-1.756601821,7.595180632
2011,2,5,0,7.442333333,121.6666667,7.863833333,-1.120113489,7.783650844
2011,2,5,1,7.033666667,120.8333333,7.458,-1.16955721,7.365724671
2011,2,5,2,5.758,112.8333333,6.142666667,-1.798229759,5.8735614
2011,2,5,3,5.639833333,110.8333333,6.036166667,-1.967406436,5.706541856
